Credit Memo Number,Line Number,Reason Code,Product ID,Quantity,U/M,Unit Price,Amount
1417520,1,701010,180101,10,EACH,8.98,89.8
1417520,2,701010,180102,11,EACH,9.47,104.17
1417520,3,701010,180103,10,EACH,9.61,96.1
1417520,4,701010,180104,10,EACH,9.90,99
1417520,5,701010,180105,10,EACH,10.80,108
1417520,6,701010,180106,11,EACH,10.69,117.59
1417520,7,701010,180107,11,EACH,11.59,127.49
1417520,8,701010,180201,11,EACH,8.88,97.68
1417520,9,701010,180202,10,EACH,9.23,92.3
1417520,10,701010,180203,11,EACH,9.54,104.94
1417520,11,701010,180204,11,EACH,10.37,114.07
1417520,12,701010,180205,10,EACH,10.54,105.4
1417520,13,701010,180206,11,EACH,11.55,127.05
1417520,14,701010,180207,11,EACH,11.97,131.67
1417520,15,701010,180301,12,EACH,8.92,107.04
1417520,16,701010,180302,11,EACH,9.20,101.2
1417520,17,701010,180303,10,EACH,9.99,99.9
1417520,18,701010,180304,11,EACH,10.20,112.2
1417520,19,701010,180305,11,EACH,10.44,114.84
1417520,20,701010,180306,12,EACH,11.18,134.16
1417520,21,701010,180307,10,EACH,10.95,109.5
1417520,22,701010,180401,12,EACH,8.92,107.04
1417520,23,701010,180402,11,EACH,9.51,104.61
1417520,24,701010,180403,10,EACH,9.53,95.3
1417520,25,701010,180404,11,EACH,10.42,114.62
1417520,26,701010,180405,11,EACH,10.39,114.29
1417520,27,701010,180406,12,EACH,10.69,128.28
1417520,28,701010,180407,11,EACH,11.18,122.98
1417520,29,701010,180501,10,EACH,8.85,88.5
1417520,30,701010,180502,10,EACH,9.38,93.8
1417520,31,701010,180503,11,EACH,9.85,108.35
1417520,32,701010,180504,10,EACH,10.14,101.4
1417520,33,701010,180505,10,EACH,10.93,109.3
1417520,34,701010,180506,11,EACH,10.88,119.68
1417520,35,701010,180507,10,EACH,11.30,113
1380029,1,701010,150101,12,EACH,11.69,140.28
1380029,1,701010,200101,9,EACH,11.53,103.77
1380029,1,701010,240101,19,EACH,8.98,170.62
1380029,2,701010,150102,14,EACH,11.73,164.22
1380029,2,701010,200102,9,EACH,12.33,110.97
1380029,2,701010,240102,18,EACH,9.49,170.82
1380029,3,701010,150103,12,EACH,12.77,153.24
1380029,3,701010,200103,9,EACH,12.91,116.19
1380029,3,701010,240103,18,EACH,9.70,174.6
1380029,4,701010,150104,13,EACH,13.18,171.34
1380029,4,701010,200104,8,EACH,13.40,107.2
1380029,4,701010,240104,18,EACH,10.66,191.88
1380029,5,701010,150105,14,EACH,13.65,191.1
1380029,5,701010,200105,8,EACH,13.51,108.08
1380029,5,701010,240105,20,EACH,10.85,217
1380029,6,701010,150106,13,EACH,13.74,178.62
1380029,6,701010,200106,9,EACH,14.33,128.97
