Credit Memo Number,Customer ID,Ship To ID,Order Number,Customer PO Number,Credit Memo Date,Ship Date,Due Date,Reason Code
1417520,101064,210081,5005,2843,6/5/2013,5/4/2013,7/4/2013,701010
1380029,101096,220512,39008,22114,5/29/2014,5/1/2014,6/28/2014,701010
508504,101031,230556,50009,28356,5/12/2013,3/21/2013,6/7/2013,701006
1291521,101096,220514,66005,37432,3/7/2014,2/8/2014,4/10/2014,701010
882032,101034,230607,68006,38565,2/23/2013,2/20/2013,3/21/2013,701010
483035,101069,230649,71009,40261,8/30/2014,9/5/2014,9/25/2014,701006
721501,101085,230772,80005,45367,9/14/2013,9/22/2013,10/15/2013,701010
321037,101193,210252,99007,56141,4/25/2014,4/1/2014,5/27/2014,701010
627023,101031,230576,110003,62372,1/2/2014,2/12/2014,1/29/2014,701010
817540,101069,230701,121002,68608,6/15/2014,7/4/2014,7/10/2014,701010
894032,101073,230716,130001,73718,8/3/2013,8/30/2013,9/3/2013,701010
1168508,101090,230824,144007,81652,12/11/2014,12/10/2014,12/31/2014,701010
903009,101034,230607,176009,99800,7/19/2013,5/25/2013,8/14/2013,701010
1390531,101069,230655,180003,102063,1/1/2014,1/18/2014,2/1/2014,701010
229525,101112,210137,186007,105471,6/22/2014,7/17/2014,7/23/2014,701008
1360506,101096,220510,191001,108310,10/11/2014,11/11/2014,11/13/2014,701010
615025,101198,210259,201002,113972,10/2/2013,10/17/2013,11/3/2013,701003
1033505,101198,210259,206007,116810,10/18/2014,9/4/2014,11/17/2014,701010
1071005,101069,230650,208001,117942,9/25/2013,10/23/2013,10/20/2013,701010
268534,101085,230770,263002,149129,1/11/2014,12/6/2013,2/10/2014,701006
1197036,101073,230732,291008,165007,11/17/2013,9/30/2013,12/21/2013,701010
385509,101034,230613,303010,171802,3/2/2013,4/30/2013,3/28/2013,701007
504019,101030,220333,309007,175210,5/3/2013,4/27/2013,5/29/2013,701008
360004,101124,210153,328005,185983,8/24/2014,8/28/2014,9/26/2014,701009
558012,101019,210028,346006,196194,4/8/2014,2/15/2014,5/10/2014,701007
1309522,101057,210070,350002,198453,7/27/2013,7/13/2013,8/26/2013,701010
217510,101069,230683,351010,199021,3/3/2013,2/27/2013,4/5/2013,701010
1245021,101085,230764,353004,200157,3/15/2014,3/8/2014,4/14/2014,701010
796515,101073,230749,366009,207527,6/5/2014,6/15/2014,7/3/2014,701010
1090519,101035,220356,385001,218308,5/17/2014,6/7/2014,6/12/2014,701010
1288529,101090,230833,413005,234173,8/30/2013,9/21/2013,9/24/2013,701010
154523,101085,230794,419008,237583,9/20/2014,11/11/2014,10/15/2014,701008
478504,101034,230600,427006,242116,2/5/2014,3/21/2014,3/9/2014,701004
997534,101067,210085,430006,243815,9/15/2014,11/14/2014,10/12/2014,701010
915027,101073,230746,442006,250618,9/17/2014,8/7/2014,10/16/2014,701010
1392006,101114,210139,446006,252887,3/7/2014,2/7/2014,4/8/2014,701010
450013,101073,230709,454009,257420,6/29/2014,7/9/2014,7/29/2014,701002
655508,101034,230635,459003,260266,9/4/2013,10/14/2013,9/30/2013,701010
874527,101085,230807,472007,267627,7/1/2014,8/7/2014,7/26/2014,701010
723002,101085,230760,490010,277836,8/26/2013,10/3/2013,9/20/2013,701010
1173033,101073,230719,506001,286912,7/14/2014,5/20/2014,8/12/2014,701010
616532,101019,210028,509008,288610,6/28/2014,7/15/2014,7/30/2014,701010
58516,101034,230644,522002,295981,10/23/2014,9/13/2014,11/17/2014,701006
657004,101004,220284,527008,298813,6/4/2014,6/6/2014,7/3/2014,701010
136517,101034,230599,536010,303919,2/8/2014,3/4/2014,3/12/2014,701009
790536,101048,210058,538007,305056,6/3/2014,6/24/2014,7/6/2014,701010
789020,101090,230844,539009,305619,12/28/2013,12/23/2013,1/31/2014,701010
832538,101144,210184,548010,310718,6/21/2013,6/29/2013,7/21/2013,701010
798037,101181,210234,550002,311852,10/14/2013,10/3/2013,11/17/2013,701010
1195506,101090,230820,554010,314126,11/25/2014,11/24/2014,12/20/2014,701010
114030,101002,220272,567010,321500,11/4/2014,10/1/2014,12/7/2014,701009
600023,101111,210135,582007,330004,10/5/2014,10/12/2014,11/5/2014,701002
