Invoice Number,Customer ID,Ship To ID,Salesperson ID,Order Number,Customer PO Number,Order Date,Requested Ship Date,Promised Ship Date,Actual Ship Date,Invoice Date,Invoice Discount %
500,101002,220282,401036,2010,1147,5/31/2013,6/25/2013,8/1/2013,8/1/2013,8/1/2013,0
737,101099,210117,401061,3006,1704,3/4/2013,3/23/2013,3/31/2013,3/31/2013,3/31/2013,0.15
1225,101064,210081,401055,5005,2843,4/14/2013,4/22/2013,5/4/2013,5/4/2013,5/4/2013,0
1475,101002,220280,401036,6005,3409,3/29/2013,4/2/2013,4/20/2013,4/20/2013,4/20/2013,0.15
1715,101034,230627,401032,7001,3979,10/8/2013,11/4/2013,12/1/2013,12/1/2013,12/1/2013,0
1964,101073,230737,401020,8001,4540,5/2/2013,5/19/2013,5/21/2013,5/21/2013,5/21/2013,0
2202,101031,230588,401035,9002,5116,10/1/2013,10/16/2013,10/30/2013,11/2/2013,11/2/2013,0
2449,101069,230694,401023,10002,5677,8/14/2014,8/31/2014,9/19/2014,9/19/2014,9/19/2014,0
2678,101033,220343,401021,11002,6239,2/21/2014,2/25/2014,3/4/2014,3/4/2014,3/4/2014,0
2917,101090,230832,401059,12006,6808,1/27/2013,1/27/2013,2/8/2013,2/8/2013,2/8/2013,0
3165,101073,230750,401020,13010,7373,6/23/2014,7/15/2014,7/23/2014,7/23/2014,7/23/2014,0
3407,101085,230795,401044,14008,7946,11/6/2014,11/26/2014,11/29/2014,11/29/2014,11/30/2014,0
3653,101073,230736,401020,15002,8517,5/31/2014,6/13/2014,7/1/2014,7/1/2014,7/1/2014,0
3902,101165,210214,401034,16003,9079,12/31/2013,1/22/2014,2/26/2014,2/26/2014,2/26/2014,0
4146,101061,210077,401046,17008,9648,4/4/2013,4/13/2013,5/21/2013,5/21/2013,5/21/2013,0
4376,101031,230555,401035,18009,10212,9/8/2013,9/13/2013,10/10/2013,10/10/2013,10/10/2013,0
4861,101030,220328,401021,20007,11353,11/17/2014,12/13/2014,12/31/2014,12/31/2014,12/31/2014,0
5115,101069,230698,401023,21009,11917,6/28/2014,7/13/2014,8/1/2014,8/1/2014,8/1/2014,0.15
5357,101134,210169,401028,22001,12481,5/2/2014,5/21/2014,5/29/2014,5/29/2014,5/29/2014,0
5851,101103,210124,401004,24003,13613,6/15/2014,6/22/2014,6/28/2014,6/28/2014,6/30/2014,0
6091,101096,220516,401027,25005,14183,1/19/2013,2/13/2013,2/15/2013,2/15/2013,2/15/2013,0
6574,101085,230773,401044,27007,15314,5/15/2014,6/1/2014,6/15/2014,6/15/2014,6/15/2014,0
7055,101034,230596,401032,29002,16446,11/6/2013,11/24/2013,12/17/2013,12/17/2013,12/17/2013,0
7535,101093,220487,401045,31010,17583,4/24/2013,5/10/2013,6/21/2013,6/27/2013,6/27/2013,0.15
7795,101034,230631,401032,32006,18147,5/18/2014,6/8/2014,7/5/2014,7/6/2014,7/6/2014,0
8028,101031,230540,401035,33005,18724,4/20/2013,4/30/2013,5/22/2013,5/22/2013,5/22/2013,0
8514,101090,230846,401059,35010,19847,6/2/2013,6/24/2013,7/23/2013,7/23/2013,7/23/2013,0
8766,101073,230742,401020,36001,20425,4/27/2014,5/15/2014,6/19/2014,6/19/2014,6/19/2014,0
8994,101080,210098,401007,37010,20986,3/24/2013,4/18/2013,5/4/2013,5/4/2013,5/4/2013,0
