Date,Warehouse ID,Product ID,On Hand Quantity,Inventory U/M,On Hand Quantity STD UM
11/30/2014,301002,110101,514,EACH,514
10/31/2014,301002,110101,390,EACH,390
9/30/2014,301002,110101,553,EACH,553
8/31/2014,301002,110101,271,EACH,271
7/31/2014,301002,110101,497,EACH,497
6/30/2014,301002,110101,343,EACH,343
5/31/2014,301002,110101,574,EACH,574
4/30/2014,301002,110101,332,EACH,332
3/31/2014,301002,110101,385,EACH,385
2/28/2014,301002,110101,572,EACH,572
1/31/2014,301002,110101,358,EACH,358
12/31/2013,301002,110101,549,EACH,549
11/30/2013,301002,110101,372,EACH,372
10/31/2013,301002,110101,658,EACH,658
9/30/2013,301002,110101,339,EACH,339
8/31/2013,301002,110101,479,EACH,479
7/31/2013,301002,110101,693,EACH,693
6/30/2013,301002,110101,489,EACH,489
5/31/2013,301002,110101,602,EACH,602
4/30/2013,301002,110101,315,EACH,315
3/31/2013,301002,110101,257,EACH,257
2/28/2013,301002,110101,461,EACH,461
1/31/2013,301002,110101,677,EACH,677
12/31/2012,301002,110101,392,EACH,392
11/30/2014,301003,110101,867,EACH,867
10/31/2014,301003,110101,1465,EACH,1465
9/30/2014,301003,110101,1329,EACH,1329
8/31/2014,301003,110101,1198,EACH,1198
7/31/2014,301003,110101,1194,EACH,1194
6/30/2014,301003,110101,1199,EACH,1199
5/31/2014,301003,110101,1141,EACH,1141
4/30/2014,301003,110101,1029,EACH,1029
3/31/2014,301003,110101,1189,EACH,1189
2/28/2014,301003,110101,1311,EACH,1311
1/31/2014,301003,110101,1110,EACH,1110
12/31/2013,301003,110101,1305,EACH,1305
11/30/2013,301003,110101,1252,EACH,1252
10/31/2013,301003,110101,1189,EACH,1189
9/30/2013,301003,110101,1169,EACH,1169
8/31/2013,301003,110101,1068,EACH,1068
7/31/2013,301003,110101,1066,EACH,1066
6/30/2013,301003,110101,1004,EACH,1004
5/31/2013,301003,110101,1358,EACH,1358
4/30/2013,301003,110101,1479,EACH,1479
3/31/2013,301003,110101,1115,EACH,1115
2/28/2013,301003,110101,1127,EACH,1127
1/31/2013,301003,110101,1082,EACH,1082
12/31/2012,301003,110101,1218,EACH,1218
11/30/2014,301004,110101,714,EACH,714
10/31/2014,301004,110101,1058,EACH,1058
9/30/2014,301004,110101,1077,EACH,1077
8/31/2014,301004,110101,987,EACH,987
7/31/2014,301004,110101,819,EACH,819
6/30/2014,301004,110101,1202,EACH,1202
5/31/2014,301004,110101,1054,EACH,1054
4/30/2014,301004,110101,1050,EACH,1050
3/31/2014,301004,110101,1121,EACH,1121
2/28/2014,301004,110101,1196,EACH,1196
1/31/2014,301004,110101,769,EACH,769
12/31/2013,301004,110101,1120,EACH,1120
11/30/2013,301004,110101,994,EACH,994
10/31/2013,301004,110101,897,EACH,897
9/30/2013,301004,110101,1200,EACH,1200
8/31/2013,301004,110101,1027,EACH,1027
7/31/2013,301004,110101,973,EACH,973
6/30/2013,301004,110101,992,EACH,992
5/31/2013,301004,110101,747,EACH,747
4/30/2013,301004,110101,722,EACH,722
3/31/2013,301004,110101,770,EACH,770
2/28/2013,301004,110101,757,EACH,757
1/31/2013,301004,110101,1173,EACH,1173
12/31/2012,301004,110101,774,EACH,774
11/30/2014,301002,110102,455,EACH,455
10/31/2014,301002,110102,331,EACH,331
9/30/2014,301002,110102,494,EACH,494
8/31/2014,301002,110102,214,EACH,214
7/31/2014,301002,110102,440,EACH,440
6/30/2014,301002,110102,285,EACH,285
5/31/2014,301002,110102,515,EACH,515
4/30/2014,301002,110102,278,EACH,278
3/31/2014,301002,110102,333,EACH,333
2/28/2014,301002,110102,520,EACH,520
1/31/2014,301002,110102,305,EACH,305
12/31/2013,301002,110102,495,EACH,495
11/30/2013,301002,110102,318,EACH,318
10/31/2013,301002,110102,603,EACH,603
9/30/2013,301002,110102,283,EACH,283
8/31/2013,301002,110102,424,EACH,424
7/31/2013,301002,110102,138,EACH,138
6/30/2013,301002,110102,432,EACH,432
5/31/2013,301002,110102,545,EACH,545
4/30/2013,301002,110102,256,EACH,256
3/31/2013,301002,110102,198,EACH,198
2/28/2013,301002,110102,401,EACH,401
1/31/2013,301002,110102,113,EACH,113
12/31/2012,301002,110102,326,EACH,326
11/30/2014,301003,110102,743,EACH,743
