Transaction Date,Warehouse ID,Product ID,Transaction Quantity,Inventory U/M,Transaction Quantity STD UM
11/1/2014,301002,110101,500,EACH,500
9/1/2014,301002,110101,500,EACH,500
7/1/2014,301002,110101,500,EACH,500
5/1/2014,301002,110101,500,EACH,500
4/1/2014,301002,110101,500,EACH,500
2/1/2014,301002,110101,500,EACH,500
12/1/2013,301002,110101,500,EACH,500
10/1/2013,301002,110101,500,EACH,500
7/1/2013,301002,110101,500,EACH,500
5/1/2013,301002,110101,500,EACH,500
4/1/2013,301002,110101,500,EACH,500
1/1/2013,301002,110101,500,EACH,500
10/1/2014,301003,110101,500,EACH,500
9/1/2014,301003,110101,500,EACH,500
8/1/2014,301003,110101,500,EACH,500
7/1/2014,301003,110101,500,EACH,500
6/1/2014,301003,110101,500,EACH,500
5/1/2014,301003,110101,1000,EACH,1000
4/1/2014,301003,110101,500,EACH,500
3/1/2014,301003,110101,500,EACH,500
2/1/2014,301003,110101,1000,EACH,1000
1/1/2014,301003,110101,500,EACH,500
12/1/2013,301003,110101,500,EACH,500
11/1/2013,301003,110101,500,EACH,500
10/1/2013,301003,110101,500,EACH,500
9/1/2013,301003,110101,500,EACH,500
8/1/2013,301003,110101,500,EACH,500
7/1/2013,301003,110101,500,EACH,500
5/1/2013,301003,110101,500,EACH,500
4/1/2013,301003,110101,1000,EACH,1000
3/1/2013,301003,110101,500,EACH,500
2/1/2013,301003,110101,500,EACH,500
1/1/2013,301003,110101,500,EACH,500
10/1/2014,301004,110101,500,EACH,500
9/1/2014,301004,110101,500,EACH,500
8/1/2014,301004,110101,500,EACH,500
6/1/2014,301004,110101,500,EACH,500
5/1/2014,301004,110101,500,EACH,500
4/1/2014,301004,110101,500,EACH,500
3/1/2014,301004,110101,500,EACH,500
2/1/2014,301004,110101,1000,EACH,1000
12/1/2013,301004,110101,500,EACH,500
11/1/2013,301004,110101,500,EACH,500
9/1/2013,301004,110101,500,EACH,500
8/1/2013,301004,110101,500,EACH,500
7/1/2013,301004,110101,500,EACH,500
6/1/2013,301004,110101,500,EACH,500
5/1/2013,301004,110101,500,EACH,500
4/1/2013,301004,110101,500,EACH,500
3/1/2013,301004,110101,500,EACH,500
1/1/2013,301004,110101,1000,EACH,1000
11/1/2014,301002,110102,500,EACH,500
9/1/2014,301002,110102,500,EACH,500
7/1/2014,301002,110102,500,EACH,500
5/1/2014,301002,110102,500,EACH,500
4/1/2014,301002,110102,500,EACH,500
2/1/2014,301002,110102,500,EACH,500
12/1/2013,301002,110102,500,EACH,500
10/1/2013,301002,110102,500,EACH,500
8/1/2013,301002,110102,500,EACH,500
5/1/2013,301002,110102,500,EACH,500
4/1/2013,301002,110102,500,EACH,500
2/1/2013,301002,110102,500,EACH,500
11/1/2014,301003,110102,500,EACH,500
9/1/2014,301003,110102,500,EACH,500
8/1/2014,301003,110102,500,EACH,500
7/1/2014,301003,110102,500,EACH,500
6/1/2014,301003,110102,500,EACH,500
5/1/2014,301003,110102,1000,EACH,1000
4/1/2014,301003,110102,500,EACH,500
3/1/2014,301003,110102,500,EACH,500
2/1/2014,301003,110102,1000,EACH,1000
1/1/2014,301003,110102,500,EACH,500
12/1/2013,301003,110102,500,EACH,500
11/1/2013,301003,110102,500,EACH,500
10/1/2013,301003,110102,500,EACH,500
9/1/2013,301003,110102,500,EACH,500
8/1/2013,301003,110102,500,EACH,500
7/1/2013,301003,110102,500,EACH,500
5/1/2013,301003,110102,1000,EACH,1000
4/1/2013,301003,110102,500,EACH,500
3/1/2013,301003,110102,500,EACH,500
2/1/2013,301003,110102,500,EACH,500
1/1/2013,301003,110102,500,EACH,500
10/1/2014,301004,110102,500,EACH,500
9/1/2014,301004,110102,500,EACH,500
8/1/2014,301004,110102,500,EACH,500
7/1/2014,301004,110102,500,EACH,500
5/1/2014,301004,110102,500,EACH,500
4/1/2014,301004,110102,1000,EACH,1000
3/1/2014,301004,110102,500,EACH,500
2/1/2014,301004,110102,500,EACH,500
1/1/2014,301004,110102,500,EACH,500
11/1/2013,301004,110102,500,EACH,500
10/1/2013,301004,110102,500,EACH,500
8/1/2013,301004,110102,500,EACH,500
7/1/2013,301004,110102,500,EACH,500
6/1/2013,301004,110102,500,EACH,500
5/1/2013,301004,110102,500,EACH,500
4/1/2013,301004,110102,500,EACH,500
3/1/2013,301004,110102,500,EACH,500
2/1/2013,301004,110102,500,EACH,500
1/1/2013,301004,110102,500,EACH,500
11/1/2014,301002,110103,500,EACH,500
9/1/2014,301002,110103,500,EACH,500
7/1/2014,301002,110103,500,EACH,500
5/1/2014,301002,110103,500,EACH,500
4/1/2014,301002,110103,500,EACH,500
2/1/2014,301002,110103,500,EACH,500
12/1/2013,301002,110103,500,EACH,500
10/1/2013,301002,110103,500,EACH,500
7/1/2013,301002,110103,500,EACH,500
5/1/2013,301002,110103,500,EACH,500
4/1/2013,301002,110103,500,EACH,500
1/1/2013,301002,110103,500,EACH,500
10/1/2014,301003,110103,500,EACH,500
9/1/2014,301003,110103,500,EACH,500
8/1/2014,301003,110103,500,EACH,500
7/1/2014,301003,110103,500,EACH,500
6/1/2014,301003,110103,500,EACH,500
5/1/2014,301003,110103,1000,EACH,1000
4/1/2014,301003,110103,500,EACH,500
3/1/2014,301003,110103,500,EACH,500
2/1/2014,301003,110103,1000,EACH,1000
1/1/2014,301003,110103,500,EACH,500
12/1/2013,301003,110103,500,EACH,500
11/1/2013,301003,110103,500,EACH,500
10/1/2013,301003,110103,500,EACH,500
9/1/2013,301003,110103,500,EACH,500
8/1/2013,301003,110103,500,EACH,500
7/1/2013,301003,110103,500,EACH,500
5/1/2013,301003,110103,500,EACH,500
4/1/2013,301003,110103,1000,EACH,1000
3/1/2013,301003,110103,500,EACH,500
2/1/2013,301003,110103,500,EACH,500
1/1/2013,301003,110103,500,EACH,500
10/1/2014,301004,110103,500,EACH,500
9/1/2014,301004,110103,500,EACH,500
8/1/2014,301004,110103,500,EACH,500
6/1/2014,301004,110103,500,EACH,500
5/1/2014,301004,110103,500,EACH,500
4/1/2014,301004,110103,500,EACH,500
3/1/2014,301004,110103,500,EACH,500
2/1/2014,301004,110103,1000,EACH,1000
12/1/2013,301004,110103,500,EACH,500
11/1/2013,301004,110103,500,EACH,500
9/1/2013,301004,110103,500,EACH,500
8/1/2013,301004,110103,500,EACH,500
7/1/2013,301004,110103,500,EACH,500
6/1/2013,301004,110103,500,EACH,500
5/1/2013,301004,110103,500,EACH,500
4/1/2013,301004,110103,500,EACH,500
3/1/2013,301004,110103,500,EACH,500
1/1/2013,301004,110103,1000,EACH,1000
8/1/2014,301002,110104,500,EACH,500
6/1/2014,301002,110104,500,EACH,500
4/1/2014,301002,110104,500,EACH,500
3/1/2014,301002,110104,500,EACH,500
1/1/2014,301002,110104,500,EACH,500
11/1/2013,301002,110104,500,EACH,500
9/1/2013,301002,110104,500,EACH,500
7/1/2013,301002,110104,500,EACH,500
4/1/2013,301002,110104,500,EACH,500
3/1/2013,301002,110104,500,EACH,500
1/1/2013,301002,110104,500,EACH,500
7/1/2014,301003,110104,500,EACH,500
6/1/2014,301003,110104,500,EACH,500
5/1/2014,301003,110104,1000,EACH,1000
4/1/2014,301003,110104,500,EACH,500
3/1/2014,301003,110104,500,EACH,500
2/1/2014,301003,110104,1000,EACH,1000
1/1/2014,301003,110104,500,EACH,500
12/1/2013,301003,110104,500,EACH,500
11/1/2013,301003,110104,500,EACH,500
10/1/2013,301003,110104,500,EACH,500
9/1/2013,301003,110104,500,EACH,500
8/1/2013,301003,110104,500,EACH,500
7/1/2013,301003,110104,500,EACH,500
5/1/2013,301003,110104,1000,EACH,1000
4/1/2013,301003,110104,500,EACH,500
3/1/2013,301003,110104,500,EACH,500
2/1/2013,301003,110104,500,EACH,500
1/1/2013,301003,110104,500,EACH,500
7/1/2014,301004,110104,500,EACH,500
6/1/2014,301004,110104,500,EACH,500
5/1/2014,301004,110104,500,EACH,500
4/1/2014,301004,110104,500,EACH,500
3/1/2014,301004,110104,500,EACH,500
2/1/2014,301004,110104,500,EACH,500
1/1/2014,301004,110104,500,EACH,500
12/1/2013,301004,110104,500,EACH,500
11/1/2013,301004,110104,500,EACH,500
9/1/2013,301004,110104,500,EACH,500
8/1/2013,301004,110104,500,EACH,500
7/1/2013,301004,110104,500,EACH,500
5/1/2013,301004,110104,500,EACH,500
4/1/2013,301004,110104,500,EACH,500
3/1/2013,301004,110104,500,EACH,500
2/1/2013,301004,110104,500,EACH,500
1/1/2013,301004,110104,500,EACH,500
9/1/2014,301002,110105,500,EACH,500
7/1/2014,301002,110105,500,EACH,500
5/1/2014,301002,110105,500,EACH,500
4/1/2014,301002,110105,500,EACH,500
2/1/2014,301002,110105,500,EACH,500
12/1/2013,301002,110105,500,EACH,500
10/1/2013,301002,110105,500,EACH,500
7/1/2013,301002,110105,500,EACH,500
5/1/2013,301002,110105,500,EACH,500
3/1/2013,301002,110105,500,EACH,500
1/1/2013,301002,110105,500,EACH,500
8/1/2014,301003,110105,500,EACH,500
7/1/2014,301003,110105,500,EACH,500
6/1/2014,301003,110105,500,EACH,500
5/1/2014,301003,110105,500,EACH,500
4/1/2014,301003,110105,1000,EACH,1000
3/1/2014,301003,110105,500,EACH,500
2/1/2014,301003,110105,500,EACH,500
1/1/2014,301003,110105,1000,EACH,1000
12/1/2013,301003,110105,500,EACH,500
11/1/2013,301003,110105,500,EACH,500
10/1/2013,301003,110105,500,EACH,500
8/1/2013,301003,110105,500,EACH,500
7/1/2013,301003,110105,500,EACH,500
6/1/2013,301003,110105,500,EACH,500
5/1/2013,301003,110105,500,EACH,500
4/1/2013,301003,110105,1000,EACH,1000
3/1/2013,301003,110105,500,EACH,500
1/1/2013,301003,110105,1000,EACH,1000
8/1/2014,301004,110105,500,EACH,500
7/1/2014,301004,110105,500,EACH,500
5/1/2014,301004,110105,500,EACH,500
4/1/2014,301004,110105,500,EACH,500
3/1/2014,301004,110105,1000,EACH,1000
2/1/2014,301004,110105,500,EACH,500
12/1/2013,301004,110105,500,EACH,500
11/1/2013,301004,110105,500,EACH,500
10/1/2013,301004,110105,500,EACH,500
8/1/2013,301004,110105,500,EACH,500
7/1/2013,301004,110105,500,EACH,500
6/1/2013,301004,110105,500,EACH,500
5/1/2013,301004,110105,500,EACH,500
4/1/2013,301004,110105,500,EACH,500
3/1/2013,301004,110105,500,EACH,500
2/1/2013,301004,110105,500,EACH,500
1/1/2013,301004,110105,500,EACH,500
11/1/2014,301002,110106,500,EACH,500
9/1/2014,301002,110106,500,EACH,500
7/1/2014,301002,110106,500,EACH,500
5/1/2014,301002,110106,500,EACH,500
4/1/2014,301002,110106,500,EACH,500
2/1/2014,301002,110106,500,EACH,500
12/1/2013,301002,110106,500,EACH,500
10/1/2013,301002,110106,500,EACH,500
7/1/2013,301002,110106,500,EACH,500
5/1/2013,301002,110106,500,EACH,500
4/1/2013,301002,110106,500,EACH,500
1/1/2013,301002,110106,500,EACH,500
10/1/2014,301003,110106,500,EACH,500
9/1/2014,301003,110106,500,EACH,500
8/1/2014,301003,110106,500,EACH,500
7/1/2014,301003,110106,500,EACH,500
6/1/2014,301003,110106,500,EACH,500
5/1/2014,301003,110106,1000,EACH,1000
4/1/2014,301003,110106,500,EACH,500
3/1/2014,301003,110106,500,EACH,500
2/1/2014,301003,110106,1000,EACH,1000
1/1/2014,301003,110106,500,EACH,500
12/1/2013,301003,110106,500,EACH,500
11/1/2013,301003,110106,500,EACH,500
10/1/2013,301003,110106,500,EACH,500
9/1/2013,301003,110106,500,EACH,500
8/1/2013,301003,110106,500,EACH,500
7/1/2013,301003,110106,500,EACH,500
5/1/2013,301003,110106,500,EACH,500
4/1/2013,301003,110106,1000,EACH,1000
3/1/2013,301003,110106,500,EACH,500
2/1/2013,301003,110106,500,EACH,500
1/1/2013,301003,110106,500,EACH,500
10/1/2014,301004,110106,500,EACH,500
9/1/2014,301004,110106,500,EACH,500
8/1/2014,301004,110106,500,EACH,500
6/1/2014,301004,110106,500,EACH,500
5/1/2014,301004,110106,500,EACH,500
4/1/2014,301004,110106,500,EACH,500
3/1/2014,301004,110106,500,EACH,500
2/1/2014,301004,110106,1000,EACH,1000
12/1/2013,301004,110106,500,EACH,500
11/1/2013,301004,110106,500,EACH,500
9/1/2013,301004,110106,500,EACH,500
8/1/2013,301004,110106,500,EACH,500
7/1/2013,301004,110106,500,EACH,500
6/1/2013,301004,110106,500,EACH,500
5/1/2013,301004,110106,500,EACH,500
4/1/2013,301004,110106,500,EACH,500
3/1/2013,301004,110106,500,EACH,500
1/1/2013,301004,110106,1000,EACH,1000
11/1/2014,301002,110107,500,EACH,500
9/1/2014,301002,110107,500,EACH,500
7/1/2014,301002,110107,500,EACH,500
5/1/2014,301002,110107,500,EACH,500
4/1/2014,301002,110107,500,EACH,500
2/1/2014,301002,110107,500,EACH,500
12/1/2013,301002,110107,500,EACH,500
10/1/2013,301002,110107,500,EACH,500
8/1/2013,301002,110107,500,EACH,500
5/1/2013,301002,110107,500,EACH,500
4/1/2013,301002,110107,500,EACH,500
2/1/2013,301002,110107,500,EACH,500
11/1/2014,301003,110107,500,EACH,500
9/1/2014,301003,110107,500,EACH,500
8/1/2014,301003,110107,500,EACH,500
7/1/2014,301003,110107,500,EACH,500
6/1/2014,301003,110107,500,EACH,500
5/1/2014,301003,110107,1000,EACH,1000
4/1/2014,301003,110107,500,EACH,500
3/1/2014,301003,110107,500,EACH,500
2/1/2014,301003,110107,1000,EACH,1000
1/1/2014,301003,110107,500,EACH,500
12/1/2013,301003,110107,500,EACH,500
11/1/2013,301003,110107,500,EACH,500
10/1/2013,301003,110107,500,EACH,500
9/1/2013,301003,110107,500,EACH,500
8/1/2013,301003,110107,500,EACH,500
7/1/2013,301003,110107,500,EACH,500
5/1/2013,301003,110107,1000,EACH,1000
4/1/2013,301003,110107,500,EACH,500
3/1/2013,301003,110107,500,EACH,500
2/1/2013,301003,110107,500,EACH,500
1/1/2013,301003,110107,500,EACH,500
10/1/2014,301004,110107,500,EACH,500
9/1/2014,301004,110107,500,EACH,500
8/1/2014,301004,110107,500,EACH,500
7/1/2014,301004,110107,500,EACH,500
5/1/2014,301004,110107,500,EACH,500
4/1/2014,301004,110107,500,EACH,500
3/1/2014,301004,110107,1000,EACH,1000
2/1/2014,301004,110107,500,EACH,500
12/1/2013,301004,110107,500,EACH,500
11/1/2013,301004,110107,500,EACH,500
10/1/2013,301004,110107,500,EACH,500
8/1/2013,301004,110107,500,EACH,500
7/1/2013,301004,110107,500,EACH,500
6/1/2013,301004,110107,500,EACH,500
5/1/2013,301004,110107,500,EACH,500
4/1/2013,301004,110107,500,EACH,500
3/1/2013,301004,110107,500,EACH,500
2/1/2013,301004,110107,500,EACH,500
1/1/2013,301004,110107,500,EACH,500
11/1/2014,301002,110201,500,EACH,500
9/1/2014,301002,110201,500,EACH,500
7/1/2014,301002,110201,500,EACH,500
5/1/2014,301002,110201,500,EACH,500
4/1/2014,301002,110201,500,EACH,500
2/1/2014,301002,110201,500,EACH,500
12/1/2013,301002,110201,500,EACH,500
10/1/2013,301002,110201,500,EACH,500
8/1/2013,301002,110201,500,EACH,500
5/1/2013,301002,110201,500,EACH,500
4/1/2013,301002,110201,500,EACH,500
2/1/2013,301002,110201,500,EACH,500
11/1/2014,301003,110201,500,EACH,500
9/1/2014,301003,110201,500,EACH,500
8/1/2014,301003,110201,500,EACH,500
7/1/2014,301003,110201,500,EACH,500
6/1/2014,301003,110201,500,EACH,500
5/1/2014,301003,110201,1000,EACH,1000
4/1/2014,301003,110201,500,EACH,500
3/1/2014,301003,110201,500,EACH,500
2/1/2014,301003,110201,1000,EACH,1000
1/1/2014,301003,110201,500,EACH,500
12/1/2013,301003,110201,500,EACH,500
11/1/2013,301003,110201,500,EACH,500
10/1/2013,301003,110201,500,EACH,500
9/1/2013,301003,110201,500,EACH,500
8/1/2013,301003,110201,500,EACH,500
7/1/2013,301003,110201,500,EACH,500
5/1/2013,301003,110201,1000,EACH,1000
4/1/2013,301003,110201,500,EACH,500
3/1/2013,301003,110201,500,EACH,500
2/1/2013,301003,110201,500,EACH,500
1/1/2013,301003,110201,500,EACH,500
10/1/2014,301004,110201,500,EACH,500
9/1/2014,301004,110201,500,EACH,500
8/1/2014,301004,110201,500,EACH,500
7/1/2014,301004,110201,500,EACH,500
5/1/2014,301004,110201,500,EACH,500
4/1/2014,301004,110201,1000,EACH,1000
3/1/2014,301004,110201,500,EACH,500
2/1/2014,301004,110201,500,EACH,500
1/1/2014,301004,110201,500,EACH,500
11/1/2013,301004,110201,500,EACH,500
10/1/2013,301004,110201,500,EACH,500
8/1/2013,301004,110201,500,EACH,500
7/1/2013,301004,110201,500,EACH,500
6/1/2013,301004,110201,500,EACH,500
5/1/2013,301004,110201,500,EACH,500
4/1/2013,301004,110201,500,EACH,500
3/1/2013,301004,110201,500,EACH,500
2/1/2013,301004,110201,500,EACH,500
1/1/2013,301004,110201,500,EACH,500
11/1/2014,301002,110202,500,EACH,500
9/1/2014,301002,110202,500,EACH,500
7/1/2014,301002,110202,500,EACH,500
5/1/2014,301002,110202,500,EACH,500
4/1/2014,301002,110202,500,EACH,500
2/1/2014,301002,110202,500,EACH,500
12/1/2013,301002,110202,500,EACH,500
10/1/2013,301002,110202,500,EACH,500
7/1/2013,301002,110202,500,EACH,500
5/1/2013,301002,110202,500,EACH,500
4/1/2013,301002,110202,500,EACH,500
1/1/2013,301002,110202,500,EACH,500
10/1/2014,301003,110202,500,EACH,500
9/1/2014,301003,110202,500,EACH,500
8/1/2014,301003,110202,500,EACH,500
7/1/2014,301003,110202,500,EACH,500
6/1/2014,301003,110202,500,EACH,500
5/1/2014,301003,110202,1000,EACH,1000
4/1/2014,301003,110202,500,EACH,500
3/1/2014,301003,110202,500,EACH,500
2/1/2014,301003,110202,1000,EACH,1000
1/1/2014,301003,110202,500,EACH,500
12/1/2013,301003,110202,500,EACH,500
11/1/2013,301003,110202,500,EACH,500
10/1/2013,301003,110202,500,EACH,500
9/1/2013,301003,110202,500,EACH,500
8/1/2013,301003,110202,500,EACH,500
7/1/2013,301003,110202,500,EACH,500
5/1/2013,301003,110202,500,EACH,500
4/1/2013,301003,110202,1000,EACH,1000
3/1/2013,301003,110202,500,EACH,500
2/1/2013,301003,110202,500,EACH,500
1/1/2013,301003,110202,500,EACH,500
10/1/2014,301004,110202,500,EACH,500
9/1/2014,301004,110202,500,EACH,500
8/1/2014,301004,110202,500,EACH,500
6/1/2014,301004,110202,500,EACH,500
5/1/2014,301004,110202,500,EACH,500
4/1/2014,301004,110202,500,EACH,500
3/1/2014,301004,110202,500,EACH,500
2/1/2014,301004,110202,1000,EACH,1000
12/1/2013,301004,110202,500,EACH,500
